eth_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-12-05T00:00:00.0000000Z,567.57,597.69,561.34,597.0,48713.07443589,13996
2020-12-06T00:00:00.0000000Z,596.99,607.68,582.77,602.64,56326.10280047,14519
2020-12-07T00:00:00.0000000Z,602.65,602.99,584.6,591.26,32957.85018806,10271
2020-12-08T00:00:00.0000000Z,591.25,595.0,548.14,554.65,76991.89978833,19886
2020-12-09T00:00:00.0000000Z,554.65,577.97,530.0,573.21,94062.3052723,25340
2020-12-10T00:00:00.0000000Z,573.16,575.28,548.29,558.33,45306.07356259,13549
2020-12-11T00:00:00.0000000Z,558.9,560.35,535.1,544.24,64819.71906732,15774
2020-12-12T00:00:00.0000000Z,544.38,574.0,543.07,568.09,46893.42030143,12182
2020-12-13T00:00:00.0000000Z,567.94,595.0,563.45,590.35,59835.75839009,14507
2020-12-14T00:00:00.0000000Z,590.25,591.65,576.06,586.27,39107.6503439,11079
2020-12-15T00:00:00.0000000Z,586.28,596.9,576.72,589.41,43872.3241983,11593
2020-12-16T00:00:00.0000000Z,589.41,639.1,581.5,638.28,87564.30056525,24098
2020-12-17T00:00:00.0000000Z,638.01,676.61,628.05,643.43,153079.02839185,39174
2020-12-18T00:00:00.0000000Z,644.01,655.89,630.0,654.67,14702.07775751,4946
2020-12-19T00:00:00.0000000Z,654.58,669.0,645.6,658.83,60583.32700532,13475
2020-12-20T00:00:00.0000000Z,658.57,660.6,622.0,638.28,86564.61813616,17975
2020-12-21T00:00:00.0000000Z,638.0,648.0,597.0,608.01,108823.62418088,24754
2020-12-22T00:00:00.0000000Z,608.0,637.47,587.84,637.46,57220.66617735,15485
2020-12-23T00:00:00.0000000Z,637.46,638.34,550.0,585.5,95504.22674621,24516
2020-12-24T00:00:00.0000000Z,585.03,615.14,565.9,612.49,58111.85528362,16128
2020-12-25T00:00:00.0000000Z,612.31,633.33,603.92,626.83,49111.1877611,15712
2020-12-26T00:00:00.0000000Z,626.77,651.99,615.5,635.95,76473.01055093,20113
2020-12-27T00:00:00.0000000Z,636.33,715.09,623.68,683.03,187988.31558767,46072
2020-12-28T00:00:00.0000000Z,683.49,746.71,680.39,729.12,177480.25823453,42788
2020-12-29T00:00:00.0000000Z,729.12,738.97,686.76,731.84,131043.38075502,34189
2020-12-30T00:00:00.0000000Z,731.84,758.0,716.23,752.5,129544.47043659,28704
2020-12-31T00:00:00.0000000Z,752.9,756.11,721.0,737.45,84349.51147473,19782
2021-01-01T00:00:00.0000000Z,737.35,750.0,717.0,730.85,44230.209858,15536
2021-01-02T00:00:00.0000000Z,730.95,788.0,717.5,775.01,149337.61431121,35354
2021-01-03T00:00:00.0000000Z,775.05,1012.7,769.49,979.86,299577.96366231,90292
2021-01-04T00:00:00.0000000Z,980.0,1166.0,888.88,1042.52,391268.54826589,114584
2021-01-05T00:00:00.0000000Z,1043.52,1134.0,975.0,1103.41,271624.57624973,77212
2021-01-06T00:00:00.0000000Z,1103.48,1215.09,1058.97,1211.85,230627.72313744,67665
2021-01-07T00:00:00.0000000Z,1211.73,1289.88,1161.0,1226.18,218678.44970612,65352
2021-01-09T00:00:00.0000000Z,1218.86,1307.0,1172.79,1280.43,128230.82429453,41794
2021-01-10T00:00:00.0000000Z,1280.68,1350.0,1152.0,1255.15,211403.21443956,67959
2021-01-11T00:00:00.0000000Z,1255.15,1259.97,910.82,1088.94,438390.61097323,122680
2021-01-12T00:00:00.0000000Z,1088.55,1152.78,1001.49,1049.98,201609.47948433,57742
2021-01-13T00:00:00.0000000Z,1050.1,1136.7,985.01,1129.9,140820.65417838,42377
2021-01-14T00:00:00.0000000Z,1130.11,1246.12,1087.24,1231.08,175389.12715223,47545
2021-01-15T00:00:00.0000000Z,1231.08,1257.8,1065.0,1168.24,204856.76269959,55210
2021-01-16T00:00:00.0000000Z,1169.93,1292.01,1152.02,1228.89,152040.54384135,45575
2021-01-17T00:00:00.0000000Z,1227.71,1268.41,1166.0,1233.24,114011.46880161,36157
2021-01-18T00:00:00.0000000Z,1233.24,1260.12,1184.21,1258.27,77759.95707163,26053
2021-01-19T00:00:00.0000000Z,1258.4,1439.55,1252.02,1367.94,257674.61297458,79542
2021-01-20T00:00:00.0000000Z,1367.65,1407.52,1234.71,1378.0,202783.05914211,59135
2021-01-21T00:00:00.0000000Z,1377.99,1389.59,1081.56,1111.76,257389.42784603,76811
2021-01-22T00:00:00.0000000Z,1111.59,1275.0,1040.46,1234.03,218283.18195284,60968
2021-01-23T00:00:00.0000000Z,1234.0,1273.17,1198.12,1233.89,85833.91171202,29039
2021-01-24T00:00:00.0000000Z,1234.27,1400.0,1222.13,1392.01,151154.77789149,46046
2021-01-25T00:00:00.0000000Z,1393.35,1475.0,1291.32,1318.69,231750.96601991,69708
2021-01-26T00:00:00.0000000Z,1318.3,1379.07,1246.0,1367.15,187533.88931274,52200
2021-01-27T00:00:00.0000000Z,1367.61,1374.56,1206.0,1240.68,174619.01819566,54888
2021-01-28T00:00:00.0000000Z,1240.31,1362.76,1220.0,1332.12,136641.01894423,42999
2021-01-29T00:00:00.0000000Z,1332.3,1440.0,1288.95,1379.38,172062.46289631,58315
2021-01-30T00:00:00.0000000Z,1379.38,1398.99,1327.92,1377.99,66457.34920384,26953
2021-01-31T00:00:00.0000000Z,1378.99,1381.0,1282.67,1313.7,70188.67177848,26867
2021-02-01T00:00:00.0000000Z,1313.02,1377.75,1271.03,1374.05,79490.44313367,34196
2021-02-02T00:00:00.0000000Z,1374.89,1549.0,1362.34,1513.12,220412.3465167,74583
2021-02-03T00:00:00.0000000Z,1513.58,1670.98,1509.31,1667.78,142314.27256481,61545
2021-02-04T00:00:00.0000000Z,1669.1,1698.0,1557.41,1598.23,169746.63486751,66701
2021-02-05T00:00:00.0000000Z,1598.22,1763.98,1593.07,1722.0,136821.06089927,54676
2021-02-06T00:00:00.0000000Z,1722.0,1744.58,1648.5,1678.92,103793.42131763,46501
2021-02-07T00:00:00.0000000Z,1678.69,1694.0,1487.27,1615.99,139689.27563387,58497
2021-02-08T00:00:00.0000000Z,1615.46,1777.17,1566.32,1752.18,137478.46697469,60604
2021-02-09T00:00:00.0000000Z,1752.18,1823.99,1709.16,1771.14,101087.51290273,53994
2021-02-10T00:00:00.0000000Z,1772.02,1838.71,1681.0,1743.48,120445.89591542,61465
2021-02-11T00:00:00.0000000Z,1742.55,1818.0,1706.3,1786.31,70468.90319516,40393
2021-02-12T00:00:00.0000000Z,1786.31,1867.58,1739.87,1845.31,92310.16638678,46786
2021-02-13T00:00:00.0000000Z,1844.09,1873.28,1761.77,1818.01,62021.82774418,34986
2021-02-14T00:00:00.0000000Z,1818.01,1851.88,1786.0,1804.34,45768.08000658,25343
2021-02-15T00:00:00.0000000Z,1804.33,1835.23,1666.26,1778.99,155254.72754084,58567
2021-02-16T00:00:00.0000000Z,1779.55,1825.16,1725.0,1781.69,81863.38641757,36242
2021-02-17T00:00:00.0000000Z,1782.0,1856.96,1733.5,1850.95,72390.13911991,34631
2021-02-18T00:00:00.0000000Z,1851.31,1949.73,1851.31,1939.57,88629.36770882,42120
2021-02-19T00:00:00.0000000Z,1939.37,1975.67,1891.57,1957.68,88873.30183439,35464
2021-02-20T00:00:00.0000000Z,1957.73,2038.84,1810.0,1916.01,144353.68510057,62015
2021-02-21T00:00:00.0000000Z,1915.01,1975.0,1886.04,1935.44,60937.58066845,26770
2021-02-22T00:00:00.0000000Z,1935.44,1937.67,700.0,1778.82,232472.07104812,89997
2021-02-23T00:00:00.0000000Z,1778.93,1782.81,1358.0,1579.16,311472.08242014,112924
2021-02-24T00:00:00.0000000Z,1579.0,1716.0,1498.44,1625.01,157698.49226831,52210
2021-02-25T00:00:00.0000000Z,1625.55,1671.9,1458.76,1481.68,103915.86599256,39112
2021-02-26T00:00:00.0000000Z,1480.82,1563.16,1401.0,1445.33,137274.39231725,49222
2021-02-27T00:00:00.0000000Z,1445.23,1526.98,1426.52,1460.13,89732.01497351,34268
2021-02-28T00:00:00.0000000Z,1460.0,1469.27,1295.0,1422.7,171603.36253056,59155
2021-03-01T00:00:00.0000000Z,1422.47,1573.83,1414.0,1570.99,104778.76964392,39137
2021-03-02T00:00:00.0000000Z,1571.0,1616.17,1455.8,1489.22,127169.20496276,37976
2021-03-03T00:00:00.0000000Z,1488.56,1656.3,1478.04,1571.83,99633.3376402,35977
2021-03-04T00:00:00.0000000Z,1569.38,1624.68,1505.69,1537.52,90634.84058756,32860
2021-03-05T00:00:00.0000000Z,1539.76,1549.42,1442.86,1528.76,109877.46162363,35990
2021-03-06T00:00:00.0000000Z,1529.07,1671.1,1513.53,1650.56,72729.44595398,31338
2021-03-07T00:00:00.0000000Z,1651.08,1734.78,1631.19,1727.49,64850.56020209,28978
2021-03-08T00:00:00.0000000Z,1726.83,1842.92,1650.0,1833.68,94445.32724081,41086
2021-03-09T00:00:00.0000000Z,1834.19,1872.34,1796.34,1872.34,72156.19820176,34938
2021-03-10T00:00:00.0000000Z,1872.33,1879.37,1758.12,1795.79,82155.32353417,39350
2021-03-11T00:00:00.0000000Z,1795.44,1847.73,1724.65,1826.87,71185.38407176,31879
2021-03-12T00:00:00.0000000Z,1826.92,1840.64,1722.02,1767.06,60538.00794603,28295
2021-03-13T00:00:00.0000000Z,1767.77,1942.71,1727.7,1920.17,85089.45796601,45446
2021-03-14T00:00:00.0000000Z,1920.98,1930.85,1838.25,1847.8,56996.94311728,28193
2021-03-15T00:00:00.0000000Z,1847.8,1890.99,1735.72,1793.23,72686.99002779,36729
2021-03-16T00:00:00.0000000Z,1794.11,1818.0,1712.03,1805.14,49182.41128999,30881
2021-03-17T00:00:00.0000000Z,1805.69,1839.54,1743.01,1823.76,41499.11388909,26933
2021-03-18T00:00:00.0000000Z,1824.4,1849.0,1759.79,1776.57,44571.04879466,27172
2021-03-19T00:00:00.0000000Z,1776.57,1839.98,1731.4,1810.38,39611.81086877,22862
2021-03-20T00:00:00.0000000Z,1810.38,1868.48,1801.38,1805.0,33256.62400199,19993
2021-03-21T00:00:00.0000000Z,1804.11,1816.48,1747.95,1784.29,33175.76844371,18750
2021-03-22T00:00:00.0000000Z,1784.42,1807.97,1657.26,1681.63,62357.50922298,28712
2021-03-23T00:00:00.0000000Z,1681.21,1720.9,1652.0,1668.4,43262.21303896,23152
2021-03-24T00:00:00.0000000Z,1668.26,1740.91,1544.8,1582.0,71431.87361642,35607
2021-03-25T00:00:00.0000000Z,1582.0,1620.82,1550.0,1586.77,42420.03517339,27502
2021-03-26T00:00:00.0000000Z,1586.8,1699.96,1586.8,1699.89,31573.65031122,22966
2021-03-27T00:00:00.0000000Z,1699.62,1731.7,1668.0,1713.31,31511.73067612,17698
2021-03-28T00:00:00.0000000Z,1715.0,1724.63,1661.9,1685.98,30498.19572262,20512
2021-03-29T00:00:00.0000000Z,1685.98,1841.8,1677.0,1816.31,69522.62708678,29282
2021-03-30T00:00:00.0000000Z,1816.4,1859.0,1787.0,1841.69,42075.67114453,23774
