atom_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-11-05T00:00:00.0000000Z,3.615,3.82,3.5282,3.7502,55441.14657635,508
2019-11-06T00:00:00.0000000Z,3.7599,3.8881,3.7208,3.8226,26706.5983718,329
2019-11-07T00:00:00.0000000Z,3.8345,3.8708,3.6231,3.8708,64469.22254576,475
2019-11-08T00:00:00.0000000Z,3.8347,4.0,3.6293,3.813,75960.07622944,652
2019-11-09T00:00:00.0000000Z,3.805,3.9648,3.805,3.9628,6856.46824216,121
2019-11-10T00:00:00.0000000Z,3.9602,4.25,3.8954,4.193,108382.59080313,824
2019-11-11T00:00:00.0000000Z,4.1868,4.3552,4.05,4.3425,39109.83821466,497
2019-11-12T00:00:00.0000000Z,4.3146,4.3146,3.9967,4.2181,124816.64355282,767
2019-11-13T00:00:00.0000000Z,4.1977,4.1977,3.952,3.9957,30487.20932678,241
2019-11-14T00:00:00.0000000Z,3.966,3.9786,3.7713,3.9786,41982.05261907,481
2019-11-15T00:00:00.0000000Z,4.0092,4.1178,3.7603,3.916,55830.89733341,681
2019-11-16T00:00:00.0000000Z,3.916,3.9563,3.8571,3.9345,25982.31503193,143
2019-11-17T00:00:00.0000000Z,3.9616,3.9631,3.82,3.8842,26735.83682146,206
2019-11-18T00:00:00.0000000Z,3.8651,3.8651,3.5105,3.5909,149115.75725549,1095
2019-11-19T00:00:00.0000000Z,3.6,3.6,3.3485,3.5112,117034.85653299,802
2019-11-20T00:00:00.0000000Z,3.4859,3.5794,3.3,3.323,26059.44172077,417
2019-11-21T00:00:00.0000000Z,3.323,3.4215,3.103,3.1768,146570.32392435,1424
2019-11-22T00:00:00.0000000Z,3.1914,3.2818,2.6218,2.9282,85364.95655974,868
2019-11-23T00:00:00.0000000Z,2.9,3.25,2.87,3.2382,59051.54181477,428
2019-11-24T00:00:00.0000000Z,3.2393,3.2706,2.9962,3.0505,24679.39478884,512
2019-11-25T00:00:00.0000000Z,3.0708,3.532,2.9855,3.412,39338.67361742,638
2019-11-26T00:00:00.0000000Z,3.3838,3.6592,3.3755,3.4548,29030.12561606,416
2019-11-27T00:00:00.0000000Z,3.5122,3.78,3.2604,3.5727,49319.838849,549
2019-11-28T00:00:00.0000000Z,3.572,3.7637,3.504,3.6703,19228.93202275,210
2019-11-29T00:00:00.0000000Z,3.7033,4.0925,3.7033,3.9744,21841.66715364,263
2019-11-30T00:00:00.0000000Z,4.0144,4.0838,3.8218,3.9143,21775.43680008,254
2019-12-01T00:00:00.0000000Z,3.9196,3.92,3.5815,3.8152,26612.87198513,410
2019-12-02T00:00:00.0000000Z,3.8241,3.8896,3.5868,3.6808,38846.91762102,353
2019-12-03T00:00:00.0000000Z,3.69,3.8115,3.6185,3.6213,22637.75352372,341
2019-12-04T00:00:00.0000000Z,3.6172,3.8115,3.437,3.5486,63234.53665416,673
2019-12-05T00:00:00.0000000Z,3.5379,3.596,3.4509,3.4817,50454.98891437,461
2019-12-06T00:00:00.0000000Z,3.4724,3.6957,3.4589,3.6678,25110.16666502,358
2019-12-07T00:00:00.0000000Z,3.6594,3.8734,3.6516,3.7669,31381.71774675,462
2019-12-08T00:00:00.0000000Z,3.7565,3.9785,3.6914,3.907,27408.26798949,410
2019-12-09T00:00:00.0000000Z,3.9275,3.9312,3.6589,3.6779,43899.45066036,486
2019-12-10T00:00:00.0000000Z,3.6576,3.73,3.5188,3.5946,42066.55692637,422
2019-12-11T00:00:00.0000000Z,3.5954,3.8561,3.5954,3.8079,24810.06745969,303
2019-12-12T00:00:00.0000000Z,3.8366,4.18,3.7654,4.0803,99572.75686952,870
2019-12-13T00:00:00.0000000Z,4.1245,4.2,3.9437,3.9498,49184.42725634,473
2019-12-14T00:00:00.0000000Z,3.9582,4.2838,3.9537,4.2327,67795.26383397,605
2019-12-15T00:00:00.0000000Z,4.199,4.599,4.163,4.4791,172780.19961843,2373
2019-12-16T00:00:00.0000000Z,4.4,4.4001,4.0148,4.0369,72312.80016531,673
