aave_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-11T00:00:00.0000000Z,368.25,372.82,360.67,371.76,2783.69941049,759
2021-04-12T00:00:00.0000000Z,372.33,416.82,364.01,396.03,12992.13521813,2998
2021-04-13T00:00:00.0000000Z,398.95,420.0,385.26,397.95,8759.89803146,2573
2021-04-14T00:00:00.0000000Z,400.59,413.34,386.2,410.09,7400.46111313,2511
2021-04-15T00:00:00.0000000Z,429.61,486.3,423.41,465.38,9970.50790016,3612
2021-04-16T00:00:00.0000000Z,466.9,470.0,420.0,442.78,7958.5984316,2466
2021-04-17T00:00:00.0000000Z,441.69,469.18,420.3,427.39,4780.05804085,1417
2021-04-19T00:00:00.0000000Z,381.97,398.24,366.35,374.42,3115.91200935,693
2021-04-20T00:00:00.0000000Z,344.0,371.32,313.37,359.0,6804.21117479,1837
2021-04-21T00:00:00.0000000Z,362.03,384.69,341.46,351.0,4908.19760454,1421
2021-04-22T00:00:00.0000000Z,350.97,413.7,343.54,360.97,12730.32749078,3345
2021-04-23T00:00:00.0000000Z,359.42,370.65,310.0,345.16,8342.3932159,2230
2021-04-24T00:00:00.0000000Z,342.52,342.52,333.62,333.62,114.58708325,25
2021-04-25T00:00:00.0000000Z,318.29,353.6,315.0,348.5,6478.00165495,1463
2021-04-26T00:00:00.0000000Z,348.72,408.5,346.28,405.0,7118.89726378,2314
2021-04-27T00:00:00.0000000Z,405.89,449.33,395.42,438.27,8318.28948211,2385
2021-04-28T00:00:00.0000000Z,441.0,486.0,422.5,461.52,10186.71659626,3221
2021-04-29T00:00:00.0000000Z,461.27,462.97,424.01,438.31,6337.4227193,1480
2021-04-30T00:00:00.0000000Z,438.54,454.07,429.22,445.18,7915.75176054,1672
2021-05-01T00:00:00.0000000Z,443.37,512.67,437.35,505.08,7326.50979119,2695
2021-05-02T00:00:00.0000000Z,505.11,506.8,475.0,483.65,5343.81295396,1427
2021-05-03T00:00:00.0000000Z,482.93,535.16,481.89,517.35,7365.13291708,2505
2021-05-04T00:00:00.0000000Z,514.31,514.31,445.14,449.21,11845.94902225,3511
2021-05-05T00:00:00.0000000Z,447.51,485.0,440.0,481.96,7878.70587804,2054
2021-05-06T00:00:00.0000000Z,481.56,481.56,441.56,453.95,7235.59528184,1979
2021-05-07T00:00:00.0000000Z,453.06,468.67,433.49,445.04,5771.94793068,1691
2021-05-08T00:00:00.0000000Z,441.65,476.03,441.19,466.93,3567.82475761,1023
2021-05-09T00:00:00.0000000Z,465.45,468.54,441.63,460.04,5753.18173532,1213
2021-05-10T00:00:00.0000000Z,457.34,482.59,406.44,433.15,9725.22890864,2260
2021-05-11T00:00:00.0000000Z,434.18,459.52,415.67,457.85,12615.33910839,1950
2021-05-12T00:00:00.0000000Z,459.52,597.11,459.13,499.75,63196.78951587,13114
2021-05-13T00:00:00.0000000Z,499.75,621.44,461.51,508.89,39085.19837109,10225
2021-05-14T00:00:00.0000000Z,508.01,633.12,506.79,596.79,21454.99157996,4769
2021-05-15T00:00:00.0000000Z,595.87,614.35,509.17,517.0,17140.2508954,3453
2021-05-16T00:00:00.0000000Z,517.92,561.78,479.01,527.0,13580.45342992,3320
2021-05-17T00:00:00.0000000Z,527.0,593.11,470.66,573.17,21772.62179848,5962
2021-05-18T00:00:00.0000000Z,572.58,666.28,563.93,629.59,21290.09441388,6556
2021-05-19T00:00:00.0000000Z,629.55,649.0,357.99,413.6,59398.60359721,16048
2021-05-20T00:00:00.0000000Z,417.4,510.87,355.66,466.0,20710.6813021,5303
2021-05-21T00:00:00.0000000Z,467.5,495.12,310.0,373.62,23441.16005685,5136
2021-05-22T00:00:00.0000000Z,373.91,381.81,311.76,334.44,13915.6513505,2547
2021-05-23T00:00:00.0000000Z,334.73,350.22,208.55,293.53,26332.51176341,4589
2021-05-24T00:00:00.0000000Z,293.84,398.0,288.3,383.56,21046.2758233,3976
2021-05-25T00:00:00.0000000Z,385.53,404.06,322.76,370.29,16456.04324304,3145
2021-05-26T00:00:00.0000000Z,371.01,416.57,358.54,415.01,13423.2726217,2699
2021-05-27T00:00:00.0000000Z,415.34,415.34,365.76,370.71,8004.32047101,1940
2021-05-28T00:00:00.0000000Z,371.85,376.32,304.14,320.81,19379.89810456,2856
2021-05-29T00:00:00.0000000Z,319.09,335.2,280.8,297.99,13845.85839672,1735
2021-05-30T00:00:00.0000000Z,297.78,339.15,283.13,324.83,6845.27257101,1294
2021-05-31T00:00:00.0000000Z,324.08,384.94,304.17,382.9,10838.78882376,2044
2021-06-01T00:00:00.0000000Z,381.54,392.66,361.25,371.08,7461.52130624,1351
2021-06-02T00:00:00.0000000Z,369.54,401.0,362.35,384.3,6092.44615685,1238
2021-06-03T00:00:00.0000000Z,382.54,408.92,377.08,397.21,4181.78393443,1034
2021-06-04T00:00:00.0000000Z,398.0,398.0,346.88,373.52,8086.22678494,1835
2021-06-05T00:00:00.0000000Z,372.34,391.24,347.67,356.0,4041.27085139,1138
2021-06-06T00:00:00.0000000Z,355.5,368.21,354.93,365.49,2133.05310956,580
2021-06-07T00:00:00.0000000Z,366.1,387.59,331.43,334.23,7400.7359916,1675
2021-06-08T00:00:00.0000000Z,333.8,338.8,296.55,330.0,11442.02947476,2292
2021-06-09T00:00:00.0000000Z,329.7,342.57,307.0,338.58,6839.03593065,1679
2021-06-10T00:00:00.0000000Z,339.0,339.52,304.46,311.26,5544.86920078,1322
2021-06-11T00:00:00.0000000Z,310.26,318.98,281.0,284.61,10568.34877241,1702
2021-06-12T00:00:00.0000000Z,284.86,289.53,266.28,278.18,8101.39009327,1203
2021-06-13T00:00:00.0000000Z,278.24,317.25,267.1,316.9,8856.75299516,1724
2021-06-14T00:00:00.0000000Z,317.09,335.77,309.13,317.97,8329.23070037,1522
2021-06-15T00:00:00.0000000Z,318.28,327.15,307.17,312.18,9248.3366059,1592
2021-06-16T00:00:00.0000000Z,311.22,314.0,287.51,290.35,10052.50091096,1646
2021-06-17T00:00:00.0000000Z,289.78,305.05,285.12,292.97,4259.57481999,881
2021-06-18T00:00:00.0000000Z,292.97,295.12,253.6,263.86,10293.47196156,1611
2021-06-19T00:00:00.0000000Z,265.41,269.8,255.0,255.91,3638.14587855,788
2021-06-20T00:00:00.0000000Z,254.59,276.77,242.74,272.89,8582.23475544,1525
