ant_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-22T00:00:00.0000000Z,8.6652,10.0,7.7714,8.2524,150479.10578659,1923
2021-04-23T00:00:00.0000000Z,8.192,8.4561,7.0017,8.0502,72318.12021185,1211
2021-04-24T00:00:00.0000000Z,8.142,8.142,7.8558,7.8558,1102.68955716,22
2021-04-25T00:00:00.0000000Z,7.5131,8.1148,7.3001,7.8157,27672.03917943,386
2021-04-26T00:00:00.0000000Z,7.9989,8.6862,7.9989,8.6059,23349.72374153,526
2021-04-27T00:00:00.0000000Z,8.6114,9.228,8.546,8.9225,24518.69375009,581
2021-04-28T00:00:00.0000000Z,9.0029,9.4288,8.5005,9.2767,21320.84892844,473
2021-04-29T00:00:00.0000000Z,9.3129,10.0,8.7522,9.95,33916.43039037,978
2021-04-30T00:00:00.0000000Z,9.95,10.3699,9.6026,9.9626,37495.05980467,794
2021-05-01T00:00:00.0000000Z,9.8666,10.2139,9.6958,9.9486,32513.9267616,656
2021-05-02T00:00:00.0000000Z,9.8713,9.8713,9.2093,9.5104,28102.02478874,492
2021-05-03T00:00:00.0000000Z,9.5731,10.29,9.5731,9.9086,42881.14917462,651
2021-05-04T00:00:00.0000000Z,9.83,9.8344,8.5,8.6116,39982.37553218,746
2021-05-05T00:00:00.0000000Z,8.52,9.5799,8.5018,9.3175,33100.46371886,732
2021-05-06T00:00:00.0000000Z,9.3593,10.25,9.0566,9.8019,39552.36115536,983
2021-05-07T00:00:00.0000000Z,9.8049,12.75,9.7086,10.6261,211718.79631741,3521
2021-05-08T00:00:00.0000000Z,10.6591,12.5,9.8647,10.3175,63938.14063813,1300
2021-05-09T00:00:00.0000000Z,10.245,11.3087,9.7713,10.2081,55211.33346773,796
2021-05-10T00:00:00.0000000Z,10.1819,10.479,8.78,9.198,31655.19156789,885
2021-05-11T00:00:00.0000000Z,9.2106,10.1404,8.7002,9.7831,29331.79934751,766
2021-05-12T00:00:00.0000000Z,9.8,10.4676,8.2864,8.3069,76087.14229877,983
2021-05-13T00:00:00.0000000Z,8.3037,8.8525,7.8169,8.1569,82541.79750433,1089
2021-05-14T00:00:00.0000000Z,8.1595,8.795,8.1139,8.459,25737.11792801,598
2021-05-15T00:00:00.0000000Z,8.4913,8.8593,7.3711,7.6903,62888.10355705,811
2021-05-16T00:00:00.0000000Z,7.695,8.6454,7.1766,7.6968,73981.7746123,823
2021-05-17T00:00:00.0000000Z,7.7578,7.7578,6.6687,6.8506,37695.05968576,684
2021-05-18T00:00:00.0000000Z,6.9283,7.4472,6.8206,7.054,19880.06690214,461
2021-05-19T00:00:00.0000000Z,7.0582,7.1318,3.2924,4.519,112481.01558701,2293
2021-05-20T00:00:00.0000000Z,4.5124,5.3,3.9001,5.0054,62242.02995233,1311
2021-05-21T00:00:00.0000000Z,5.1211,5.4195,3.5413,4.1434,92863.37842079,1162
2021-05-22T00:00:00.0000000Z,4.2024,5.8,3.6109,3.9362,78054.1802416,732
2021-05-23T00:00:00.0000000Z,3.862,4.0381,2.7814,3.3651,96711.33004379,1697
2021-05-24T00:00:00.0000000Z,3.3609,4.073,3.2244,4.0589,62496.523724,808
2021-05-25T00:00:00.0000000Z,4.0741,4.5474,3.7339,4.3516,59750.51300133,898
2021-05-26T00:00:00.0000000Z,4.4686,5.7279,4.3283,5.3474,134182.91937234,1448
2021-05-27T00:00:00.0000000Z,5.3202,6.35,4.7336,4.8885,119829.98673376,910
2021-05-28T00:00:00.0000000Z,4.863,4.9328,3.9021,4.1198,128635.25191917,974
2021-05-29T00:00:00.0000000Z,4.1498,4.7123,3.7159,3.9882,103436.51321057,1297
2021-05-30T00:00:00.0000000Z,3.9536,4.4037,3.7532,4.1287,38969.80449455,585
2021-05-31T00:00:00.0000000Z,4.1325,5.7121,3.981,5.0081,72786.53699005,1171
2021-06-02T00:00:00.0000000Z,4.7659,5.0002,4.5977,4.8493,18723.1897946,352
2021-06-03T00:00:00.0000000Z,4.87,5.3,4.7317,5.0714,74478.45823592,561
2021-06-04T00:00:00.0000000Z,5.0714,5.1047,4.2912,4.4959,76074.14715848,567
2021-06-05T00:00:00.0000000Z,4.463,5.77,4.443,5.0088,206636.22149799,1185
2021-06-06T00:00:00.0000000Z,5.0005,6.77,4.7544,5.5571,292110.34542696,1707
2021-06-07T00:00:00.0000000Z,5.4956,5.5294,4.725,4.725,82168.77160808,587
2021-06-08T00:00:00.0000000Z,4.7794,4.8619,4.1563,4.6248,120433.58051766,683
2021-06-09T00:00:00.0000000Z,4.6156,4.7804,4.35,4.7092,158681.68777615,685
2021-06-10T00:00:00.0000000Z,4.7109,4.731,4.2756,4.312,150717.14243092,594
2021-06-11T00:00:00.0000000Z,4.314,4.5337,4.16,4.3915,188350.73737032,510
2021-06-12T00:00:00.0000000Z,4.3598,5.5097,3.8389,4.2624,319222.37412003,3401
2021-06-13T00:00:00.0000000Z,4.3045,4.4468,4.161,4.3929,88056.08922393,261
2021-06-14T00:00:00.0000000Z,4.435,4.7014,4.3868,4.7014,39923.25035886,279
2021-06-15T00:00:00.0000000Z,4.6898,4.951,4.5034,4.5929,74034.17844175,316
2021-06-16T00:00:00.0000000Z,4.5769,4.7639,4.4239,4.6396,49779.37505937,199
2021-06-17T00:00:00.0000000Z,4.6666,4.9749,4.3208,4.4403,29135.54547121,239
2021-06-18T00:00:00.0000000Z,4.4149,4.5499,4.0711,4.1509,29550.59717964,210
2021-06-19T00:00:00.0000000Z,4.1496,4.1888,3.997,4.0055,34946.31403559,144
2021-06-20T00:00:00.0000000Z,3.9908,4.1402,3.8534,4.1086,26236.35204202,123
2021-06-21T00:00:00.0000000Z,4.1052,4.1052,3.1691,3.1825,75499.97962696,414
2021-06-22T00:00:00.0000000Z,3.1214,3.6663,3.0457,3.4609,252876.80986314,891
2021-06-23T00:00:00.0000000Z,3.4203,3.7435,3.3611,3.521,92984.34347256,383
2021-06-24T00:00:00.0000000Z,3.5732,3.7646,3.4309,3.5411,111541.95399671,347
2021-06-25T00:00:00.0000000Z,3.6044,3.7381,3.2337,3.2838,96196.59411391,325
2021-06-26T00:00:00.0000000Z,3.2459,3.4255,3.1271,3.4137,39874.16968002,259
2021-06-27T00:00:00.0000000Z,3.4267,3.6999,3.3001,3.4894,39096.88917009,254
2021-06-28T00:00:00.0000000Z,3.5141,3.611,3.3491,3.5127,21815.71459577,158
2021-06-29T00:00:00.0000000Z,3.5699,3.8923,3.5098,3.7365,34866.64236657,264
2021-06-30T00:00:00.0000000Z,3.6838,3.7348,3.4184,3.6984,17769.45601189,215
2021-07-01T00:00:00.0000000Z,3.6903,3.6903,3.3897,3.491,54053.04312537,341
2021-07-02T00:00:00.0000000Z,3.4879,3.8118,3.365,3.7073,33636.46614239,505
2021-07-03T00:00:00.0000000Z,3.6654,3.7638,3.5974,3.7048,16409.00149649,220
2021-07-04T00:00:00.0000000Z,3.6337,3.9135,3.6275,3.7657,26574.76671207,427
2021-07-05T00:00:00.0000000Z,3.7318,3.7318,3.5597,3.6263,22159.50791119,99
2021-07-06T00:00:00.0000000Z,3.6266,4.1576,3.6055,4.0241,43344.21598155,343
2021-07-07T00:00:00.0000000Z,4.0354,4.1491,3.9294,3.9355,43893.17847008,277
2021-07-08T00:00:00.0000000Z,3.9423,3.9497,3.615,3.6231,9569.17739416,127
2021-07-09T00:00:00.0000000Z,3.6117,3.7303,3.561,3.6951,7691.49035819,117
2021-07-10T00:00:00.0000000Z,3.6981,3.7343,3.5906,3.6325,4375.76696383,113
2021-07-11T00:00:00.0000000Z,3.6389,3.8893,3.6389,3.8206,26776.65678764,264
2021-07-12T00:00:00.0000000Z,3.8243,3.9071,3.5994,3.6308,11753.22350661,155
2021-07-13T00:00:00.0000000Z,3.6314,3.6465,3.4927,3.4927,13189.21192755,113
2021-07-14T00:00:00.0000000Z,3.4918,3.6592,3.3171,3.6266,17594.99318924,156
2021-07-15T00:00:00.0000000Z,3.656,3.6625,3.4088,3.4615,16297.32653082,236
2021-07-16T00:00:00.0000000Z,3.4644,3.5396,3.3852,3.3901,5644.96747905,94
2021-07-17T00:00:00.0000000Z,3.3372,3.5143,3.3348,3.4474,43652.06800863,242
2021-07-18T00:00:00.0000000Z,3.4416,3.6685,3.4416,3.4763,140092.08651967,441
2021-07-19T00:00:00.0000000Z,3.4651,3.6046,3.288,3.573,65543.57854382,372
2021-07-20T00:00:00.0000000Z,3.5649,3.5707,3.0262,3.1133,44812.89419136,225
2021-07-21T00:00:00.0000000Z,3.1123,3.3498,3.0961,3.2841,49701.11733468,249
2021-07-22T00:00:00.0000000Z,3.2855,3.3591,3.254,3.3541,11484.98972325,100
2021-07-23T00:00:00.0000000Z,3.3677,3.4174,3.1956,3.3578,13634.82469964,133
2021-07-24T00:00:00.0000000Z,3.362,3.6151,3.3436,3.5315,32275.17289573,211
2021-07-25T00:00:00.0000000Z,3.5355,3.6724,3.4412,3.6724,36918.42277914,250
2021-07-26T00:00:00.0000000Z,3.6998,3.85,3.6095,3.6484,41012.0106285,347
2021-07-28T00:00:00.0000000Z,4.2064,4.4041,3.9326,3.9652,38439.98529986,357
2021-07-29T00:00:00.0000000Z,3.9668,4.0398,3.8892,4.0087,7964.73996371,141
2021-07-30T00:00:00.0000000Z,4.0035,4.1127,3.833,4.0022,16066.06740505,251
2021-07-31T00:00:00.0000000Z,4.0165,4.1034,3.9056,4.0232,16951.51561633,279
2021-08-01T00:00:00.0000000Z,4.0198,4.1472,3.8371,3.8753,45761.54435231,359
2021-08-02T00:00:00.0000000Z,3.86,3.9172,3.7888,3.8483,25905.38532653,312
2021-08-03T00:00:00.0000000Z,3.8117,3.8375,3.6382,3.6972,16882.65566979,121
2021-08-04T00:00:00.0000000Z,3.7066,3.8471,3.6489,3.7965,15869.34311773,122
2021-08-05T00:00:00.0000000Z,3.7989,4.0964,3.6873,3.9329,30336.43300159,378
2021-08-06T00:00:00.0000000Z,3.9272,4.1642,3.86,4.1383,62815.52612098,325
2021-08-07T00:00:00.0000000Z,4.1335,4.5847,4.1324,4.4295,33155.13612709,422
2021-08-08T00:00:00.0000000Z,4.4178,4.6311,4.2474,4.3257,15193.14033834,295
2021-08-09T00:00:00.0000000Z,4.343,4.835,4.2353,4.5938,35574.74096679,374
2021-08-10T00:00:00.0000000Z,4.5822,4.6145,4.4524,4.5739,11572.13115749,126
2021-08-11T00:00:00.0000000Z,4.592,4.905,4.5612,4.7577,31009.55830388,474
2021-08-12T00:00:00.0000000Z,4.7695,4.9443,4.4338,4.5896,32675.57848728,242
2021-08-13T00:00:00.0000000Z,4.6055,5.0252,4.593,5.0252,85091.56393607,431
2021-08-14T00:00:00.0000000Z,5.0283,5.3343,4.8551,5.1666,31613.40444952,614
2021-08-15T00:00:00.0000000Z,5.1888,5.1888,4.8685,5.0729,30630.17694003,323
2021-08-16T00:00:00.0000000Z,5.0546,5.2584,4.9712,5.0123,75398.77586912,500
2021-08-17T00:00:00.0000000Z,4.9984,5.169,4.7001,4.7329,130355.8846877,619
2021-08-18T00:00:00.0000000Z,4.7539,4.8973,4.5667,4.6892,100341.39521942,405
2021-08-19T00:00:00.0000000Z,4.6815,4.8073,4.4614,4.8073,57919.83292498,453
2021-08-20T00:00:00.0000000Z,4.8044,5.206,4.8044,5.0798,73228.5467677,422
2021-08-21T00:00:00.0000000Z,5.1473,5.598,5.0745,5.4096,60219.51771614,506
2021-08-22T00:00:00.0000000Z,5.4086,5.4799,5.1409,5.3019,36441.34433176,258
2021-08-23T00:00:00.0000000Z,5.3176,5.5856,5.2807,5.4889,49953.47490307,298
2021-08-24T00:00:00.0000000Z,5.4958,5.5421,4.9407,4.9457,100656.51623448,402
2021-08-25T00:00:00.0000000Z,4.9463,5.181,4.7669,5.172,56577.44593467,286
2021-08-26T00:00:00.0000000Z,5.1625,5.1638,4.6091,4.6091,71678.85306397,298
2021-08-27T00:00:00.0000000Z,4.6253,4.9094,4.5294,4.8897,51650.12258469,273
2021-08-28T00:00:00.0000000Z,4.8615,4.9413,4.8008,4.8659,11165.22402814,111
2021-08-29T00:00:00.0000000Z,4.8964,4.9939,4.7551,4.9475,19268.27697818,129
2021-08-30T00:00:00.0000000Z,4.9744,4.9744,4.6567,4.6748,25061.82986294,154
2021-08-31T00:00:00.0000000Z,4.668,5.5414,4.6416,5.12,127105.74751775,516
2021-09-01T00:00:00.0000000Z,5.0987,5.4311,4.9701,5.2731,34932.0194289,313
2021-09-02T00:00:00.0000000Z,5.2936,8.723,5.2229,7.09,355195.4897936,2940
2021-09-03T00:00:00.0000000Z,7.0579,8.4567,6.7351,7.2702,238424.89093311,1952
2021-09-04T00:00:00.0000000Z,7.2619,7.3094,6.84,6.8796,64947.63284259,500
2021-09-05T00:00:00.0000000Z,6.8996,7.1657,6.7242,6.8723,40934.7344384,399
2021-09-06T00:00:00.0000000Z,6.8991,7.0645,6.5464,6.8547,59030.3576197,529
2021-09-07T00:00:00.0000000Z,6.8062,6.9719,5.2624,5.6933,220140.09385171,1113
2021-09-08T00:00:00.0000000Z,5.7409,5.9393,4.9617,5.4593,117945.15373764,528
2021-09-09T00:00:00.0000000Z,5.4665,6.312,5.4665,5.8656,159742.03152623,600
2021-09-10T00:00:00.0000000Z,5.8744,6.1578,5.321,5.4204,85689.78964983,329
2021-09-11T00:00:00.0000000Z,5.4384,5.7412,5.3901,5.4827,42586.26857877,217
2021-09-12T00:00:00.0000000Z,5.5287,6.3135,5.5261,6.0899,33057.13298887,246
