xtz_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-15T00:00:00.0000000Z,4.8732,4.9616,3.8204,4.543,2238315.98140016,6505
2021-02-16T00:00:00.0000000Z,4.5401,4.8842,4.2985,4.5478,822485.04303194,2993
2021-02-17T00:00:00.0000000Z,4.5509,4.7653,4.1911,4.6102,728989.1868379,2438
2021-02-18T00:00:00.0000000Z,4.626,4.9942,4.5007,4.8366,1003882.59894951,3245
2021-02-19T00:00:00.0000000Z,4.8593,5.1009,4.5789,4.9725,1068784.43753935,3383
2021-02-20T00:00:00.0000000Z,4.99,5.1435,4.3403,4.6516,1319500.86965447,4883
2021-02-21T00:00:00.0000000Z,4.6417,4.8047,4.5155,4.673,440904.24770343,2141
2021-02-22T00:00:00.0000000Z,4.6564,4.6564,3.38,4.2873,2917623.38777629,6440
2021-02-23T00:00:00.0000000Z,4.2761,4.29,2.9303,3.55,3012606.47337496,8189
2021-02-24T00:00:00.0000000Z,3.5011,3.8978,3.3628,3.5287,698451.11004776,3111
2021-02-25T00:00:00.0000000Z,3.5353,3.8346,3.3,3.3326,706198.43812548,2322
2021-02-26T00:00:00.0000000Z,3.3338,3.795,3.1796,3.4563,967426.98312441,2668
2021-02-27T00:00:00.0000000Z,3.4691,3.8569,3.4691,3.6451,633443.07952369,2043
2021-02-28T00:00:00.0000000Z,3.663,3.6733,3.19,3.4031,928777.0147981,1994
2021-03-01T00:00:00.0000000Z,3.4559,3.685,3.4032,3.635,730010.11536023,1596
2021-03-02T00:00:00.0000000Z,3.6441,3.8006,3.497,3.6819,765732.28540509,2816
2021-03-03T00:00:00.0000000Z,3.6901,3.9998,3.671,3.8545,660186.53629143,2589
2021-03-04T00:00:00.0000000Z,3.8312,3.9708,3.5639,3.6645,475908.59616237,1899
2021-03-05T00:00:00.0000000Z,3.6282,3.8611,3.4441,3.76,838166.46360938,2342
2021-03-06T00:00:00.0000000Z,3.7842,4.011,3.7212,3.8763,660136.96041372,1831
2021-03-07T00:00:00.0000000Z,3.878,4.208,3.83,4.1952,764351.70771532,2332
2021-03-08T00:00:00.0000000Z,4.1982,4.4852,4.0662,4.3932,933219.70166911,3174
2021-03-09T00:00:00.0000000Z,4.4001,4.5877,4.3394,4.4716,500688.13586991,2165
2021-03-10T00:00:00.0000000Z,4.4743,4.4816,4.0636,4.1477,688404.21579213,2226
2021-03-11T00:00:00.0000000Z,4.1598,4.1881,3.9493,4.1212,506008.42275375,1556
2021-03-12T00:00:00.0000000Z,4.1258,4.1376,3.8205,3.9754,456190.4804824,1801
2021-03-13T00:00:00.0000000Z,3.96,4.23,3.8051,4.1646,425845.77840705,1876
2021-03-14T00:00:00.0000000Z,4.1679,4.1875,3.9248,3.9248,233048.38409887,1038
2021-03-15T00:00:00.0000000Z,3.9261,4.0537,3.739,3.8311,471188.45574401,1787
2021-03-16T00:00:00.0000000Z,3.8346,4.0442,3.692,4.0421,495137.57600994,1771
2021-03-17T00:00:00.0000000Z,4.0425,4.45,3.8444,4.4063,860365.61768843,3203
2021-03-18T00:00:00.0000000Z,4.413,4.5793,4.2299,4.2631,789097.26978471,3131
2021-03-19T00:00:00.0000000Z,4.2546,4.3482,4.116,4.2248,497204.36116162,1774
2021-03-20T00:00:00.0000000Z,4.2135,4.6069,4.2093,4.3608,792824.27648814,2986
2021-03-21T00:00:00.0000000Z,4.34,4.4188,4.05,4.1754,222968.01902145,1203
2021-03-22T00:00:00.0000000Z,4.1576,4.4175,4.0266,4.1032,376304.66604178,1761
2021-03-23T00:00:00.0000000Z,4.0548,4.2349,3.9545,4.1326,416272.76578259,1689
2021-03-24T00:00:00.0000000Z,4.1396,4.5199,3.8593,3.9953,527675.9848356,2794
2021-03-25T00:00:00.0000000Z,3.988,4.0679,3.7598,3.9308,490139.0439853,1810
2021-03-26T00:00:00.0000000Z,3.9491,4.2,3.9409,4.2,289568.29201508,1219
2021-03-27T00:00:00.0000000Z,4.2033,4.2219,4.0256,4.1039,227624.01475526,888
2021-03-28T00:00:00.0000000Z,4.104,4.3191,4.075,4.2256,320714.00424661,1191
2021-03-29T00:00:00.0000000Z,4.2212,4.6263,4.182,4.5912,768397.02496225,2792
2021-03-30T00:00:00.0000000Z,4.593,4.7884,4.5506,4.5582,701995.44829765,2566
2021-03-31T00:00:00.0000000Z,4.5705,4.8816,4.2265,4.8299,551749.28621602,2531
2021-04-01T00:00:00.0000000Z,4.8574,5.3496,4.7462,5.124,1199902.45177493,5353
2021-04-02T00:00:00.0000000Z,5.1366,5.37,4.25,5.2894,708654.92334246,3244
2021-04-03T00:00:00.0000000Z,5.3106,5.4013,4.7432,4.7633,647207.54407997,2990
2021-04-04T00:00:00.0000000Z,4.7516,5.1965,4.68,5.1287,280383.68517526,1497
2021-04-05T00:00:00.0000000Z,5.1512,6.45,4.974,6.1,1552199.60947645,8034
2021-04-06T00:00:00.0000000Z,6.1,6.7997,5.8505,6.1488,1341065.1368322,7570
2021-04-07T00:00:00.0000000Z,6.1613,6.4698,5.3765,5.528,1047806.80939656,5964
2021-04-08T00:00:00.0000000Z,5.5283,6.2351,5.4746,6.1571,477096.06691796,2980
2021-04-09T00:00:00.0000000Z,6.167,6.8914,6.0114,6.8324,744856.93554136,4377
2021-04-10T00:00:00.0000000Z,6.8127,7.2,6.2398,6.5557,909987.42500961,5335
2021-04-11T00:00:00.0000000Z,6.5589,6.6846,6.2901,6.4417,449244.0923968,2415
2021-04-12T00:00:00.0000000Z,6.4444,6.5,6.0865,6.2818,355653.25136103,2448
2021-04-13T00:00:00.0000000Z,6.2802,6.6745,6.1051,6.5507,449212.23396261,2985
2021-04-14T00:00:00.0000000Z,6.5535,6.9069,6.1738,6.48,832957.35354287,4056
2021-04-15T00:00:00.0000000Z,6.5927,6.9295,6.3777,6.769,485962.11958369,2866
2021-04-16T00:00:00.0000000Z,6.8181,7.475,6.5529,7.2048,1623881.00260485,8012
2021-04-17T00:00:00.0000000Z,7.2049,7.68,6.2,7.067,742552.74370779,4203
2021-04-19T00:00:00.0000000Z,6.1962,6.4317,5.3479,5.4614,752705.39034402,3906
2021-04-20T00:00:00.0000000Z,5.4432,5.6042,4.9531,5.5478,1480850.67556694,3935
2021-04-21T00:00:00.0000000Z,5.72,5.8387,5.3151,5.339,723843.07833083,2852
2021-04-22T00:00:00.0000000Z,5.3268,5.7555,4.87,4.9234,1137397.30075912,4393
2021-04-23T00:00:00.0000000Z,4.9234,5.069,4.0132,4.6409,1311506.19079553,5422
2021-04-24T00:00:00.0000000Z,4.8268,4.8268,4.6829,4.6829,4416.13284335,40
2021-04-25T00:00:00.0000000Z,4.452,4.7936,4.2264,4.4393,625747.88981604,2167
2021-04-26T00:00:00.0000000Z,4.4566,5.359,4.4238,5.2352,715837.57518287,3049
2021-04-27T00:00:00.0000000Z,5.236,5.49,5.151,5.4361,559931.31570277,2382
2021-04-28T00:00:00.0000000Z,5.4461,5.5499,5.0717,5.2472,415164.55012901,2025
2021-04-29T00:00:00.0000000Z,5.2546,5.4346,5.1043,5.2475,307326.92363942,1634
2021-04-30T00:00:00.0000000Z,5.2454,5.7057,5.1382,5.6158,574758.5781886,2328
2021-05-01T00:00:00.0000000Z,5.6109,5.9,5.4983,5.82,525232.25403317,2154
2021-05-02T00:00:00.0000000Z,5.82,5.8569,5.4549,5.6049,284227.44490953,1527
2021-05-03T00:00:00.0000000Z,5.6087,6.0999,5.6003,6.007,421295.07324423,2890
2021-05-04T00:00:00.0000000Z,6.0308,6.0597,5.434,5.4972,729537.60878006,3995
2021-05-05T00:00:00.0000000Z,5.4934,6.7868,5.4218,6.6044,1316755.50160664,5977
2021-05-06T00:00:00.0000000Z,6.6149,8.0596,6.4425,7.564,1887810.59184723,10160
2021-05-07T00:00:00.0000000Z,7.58,8.4054,6.7745,7.0908,1764383.84390469,8981
2021-05-08T00:00:00.0000000Z,7.0833,7.305,6.8168,6.9882,789489.27413684,3704
2021-05-09T00:00:00.0000000Z,6.9918,7.1617,6.504,7.1012,580885.4037922,3049
2021-05-10T00:00:00.0000000Z,7.139,7.5,5.95,6.2017,1130153.05882335,5144
2021-05-11T00:00:00.0000000Z,6.1846,7.261,5.93,7.1259,1151345.46440535,5101
2021-05-12T00:00:00.0000000Z,7.13,7.3351,5.87,5.9288,1101984.29511781,6117
2021-05-13T00:00:00.0000000Z,5.9221,6.4117,5.7302,6.13,1380815.29105696,5957
2021-05-14T00:00:00.0000000Z,6.1167,6.5191,6.0518,6.4768,631715.27088156,2849
2021-05-15T00:00:00.0000000Z,6.4741,6.5255,5.75,5.7832,724653.98470988,2819
2021-05-16T00:00:00.0000000Z,5.8159,6.2219,5.34,5.6827,983297.51734747,3793
2021-05-17T00:00:00.0000000Z,5.6201,5.6494,5.006,5.1682,1030277.03392707,4019
2021-05-18T00:00:00.0000000Z,5.1869,5.9585,5.1024,5.74,977554.69630582,4407
2021-05-19T00:00:00.0000000Z,5.75,5.8388,2.9,3.6204,4707312.25968432,17617
2021-05-20T00:00:00.0000000Z,3.6199,4.4808,3.17,4.2065,1680857.98839876,6931
2021-05-21T00:00:00.0000000Z,4.1885,4.3984,3.129,3.6803,1129827.39880903,5593
2021-05-22T00:00:00.0000000Z,3.6653,3.742,3.2272,3.4247,501282.87842127,2697
2021-05-23T00:00:00.0000000Z,3.4107,3.6002,2.4326,2.9367,1605732.72202171,7064
2021-05-24T00:00:00.0000000Z,2.9328,3.6181,2.8395,3.5388,1049659.49048314,4565
2021-05-25T00:00:00.0000000Z,3.5388,3.7584,3.2546,3.6646,966380.04934257,4450
2021-05-26T00:00:00.0000000Z,3.6692,3.9773,3.585,3.9301,793243.67441717,3048
2021-05-27T00:00:00.0000000Z,3.9313,4.1691,3.583,3.8724,503360.64786501,3019
2021-05-28T00:00:00.0000000Z,3.8581,3.9236,3.2578,3.3973,511406.70268463,3209
2021-05-29T00:00:00.0000000Z,3.3918,3.5665,3.036,3.1958,1178869.9222837,3366
2021-05-30T00:00:00.0000000Z,3.2076,3.45,3.0277,3.2713,306165.16582189,1761
2021-05-31T00:00:00.0000000Z,3.2697,3.61,3.1547,3.5981,517713.31011126,1779
2021-06-01T00:00:00.0000000Z,3.6029,3.6944,3.4376,3.665,619648.78435464,1963
2021-06-02T00:00:00.0000000Z,3.6666,3.869,3.5815,3.8109,304000.08842483,1514
2021-06-03T00:00:00.0000000Z,3.8013,3.9817,3.7287,3.8757,500586.82970995,1548
2021-06-04T00:00:00.0000000Z,3.8682,3.8999,3.3671,3.5676,434248.57971411,2085
2021-06-05T00:00:00.0000000Z,3.5436,3.6909,3.2707,3.4267,226514.44899627,1390
2021-06-06T00:00:00.0000000Z,3.4259,3.9014,3.4098,3.8336,554136.76519915,2001
2021-06-07T00:00:00.0000000Z,3.8458,4.1421,3.439,3.4836,1151567.16176907,4699
2021-06-08T00:00:00.0000000Z,3.477,3.581,3.0822,3.4502,1095476.42860605,4834
2021-06-09T00:00:00.0000000Z,3.433,3.5334,3.2315,3.5054,804141.47680911,3068
2021-06-10T00:00:00.0000000Z,3.5122,3.5467,3.2,3.2644,391705.94488841,1867
2021-06-11T00:00:00.0000000Z,3.2578,3.3699,3.0857,3.1322,294884.49300296,1516
2021-06-12T00:00:00.0000000Z,3.127,3.2249,2.9245,3.1318,378663.10538511,1765
2021-06-13T00:00:00.0000000Z,3.1459,3.3212,3.0061,3.2887,277179.12403844,1177
2021-06-14T00:00:00.0000000Z,3.3138,3.3572,3.1941,3.3477,166374.03556099,1184
2021-06-15T00:00:00.0000000Z,3.3527,3.3944,3.219,3.27,256701.13740667,993
2021-06-16T00:00:00.0000000Z,3.26,3.3276,3.0904,3.0995,174661.27089738,969
2021-06-17T00:00:00.0000000Z,3.1393,3.4313,3.1375,3.3683,436302.23735436,2116
2021-06-18T00:00:00.0000000Z,3.3683,3.3731,3.0,3.0898,465533.13671922,2004
2021-06-19T00:00:00.0000000Z,3.0824,3.1752,3.021,3.0336,244793.95633575,1129
2021-06-20T00:00:00.0000000Z,3.0286,3.1151,2.8779,3.0779,485260.1052194,1617
2021-06-21T00:00:00.0000000Z,3.0957,3.0957,2.48,2.4865,595809.69113376,2961
2021-06-22T00:00:00.0000000Z,2.4928,2.6587,2.12,2.3608,1039683.88728465,4032
2021-06-23T00:00:00.0000000Z,2.3753,2.7842,2.34,2.6813,356243.82656575,2513
2021-06-24T00:00:00.0000000Z,2.6884,2.8453,2.5705,2.8275,208423.49224746,1141
2021-06-25T00:00:00.0000000Z,2.8365,2.8782,2.4888,2.5241,399650.05886114,2030
2021-06-26T00:00:00.0000000Z,2.5211,2.6171,2.3878,2.5416,366360.7993268,1915
2021-06-27T00:00:00.0000000Z,2.5241,2.6251,2.4564,2.6206,234636.5843597,1044
2021-06-28T00:00:00.0000000Z,2.6241,2.7349,2.5641,2.6991,127665.26275977,805
2021-06-29T00:00:00.0000000Z,2.7037,2.9876,2.7029,2.9755,280602.35977273,1514
2021-06-30T00:00:00.0000000Z,2.9778,3.0445,2.7544,3.0445,582720.33275955,1859
2021-07-01T00:00:00.0000000Z,3.0456,3.0617,2.8421,2.9415,134946.91496701,1261
2021-07-02T00:00:00.0000000Z,2.9368,2.9788,2.75,2.9596,87229.44828323,873
2021-07-03T00:00:00.0000000Z,2.9657,3.0265,2.8812,3.0265,83099.671396,649
2021-07-04T00:00:00.0000000Z,3.0266,3.1092,2.9182,3.0436,120658.7992399,1092
2021-07-05T00:00:00.0000000Z,3.0314,3.0314,2.8,2.832,102664.85223682,861
2021-07-06T00:00:00.0000000Z,2.8544,2.9814,2.8097,2.8724,150543.12837773,1262
2021-07-07T00:00:00.0000000Z,2.8594,2.9643,2.821,2.8715,278386.00021764,1256
2021-07-08T00:00:00.0000000Z,2.8792,2.8944,2.621,2.6964,183678.48951416,1344
2021-07-09T00:00:00.0000000Z,2.6924,2.7935,2.5849,2.7544,353288.54765976,1321
2021-07-10T00:00:00.0000000Z,2.75,2.8358,2.6946,2.782,193709.49579223,986
2021-07-11T00:00:00.0000000Z,2.7751,2.8881,2.7372,2.8439,144891.82021056,908
2021-07-12T00:00:00.0000000Z,2.8425,2.9499,2.7648,2.8194,165176.75197993,1029
2021-07-13T00:00:00.0000000Z,2.8008,2.9155,2.7683,2.8008,260225.78620425,1282
