ethc_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-12-21T00:00:00.0000000Z,6.46,6.954,6.052,6.133,66035.59525915,1529
2020-12-22T00:00:00.0000000Z,6.121,6.191,5.777,6.122,23426.06627399,826
2020-12-23T00:00:00.0000000Z,6.09,6.191,4.774,5.108,64880.59371286,1645
2020-12-24T00:00:00.0000000Z,5.086,5.624,5.045,5.597,29437.02809486,1198
2020-12-25T00:00:00.0000000Z,5.619,5.859,5.502,5.776,38680.27004946,983
2020-12-26T00:00:00.0000000Z,5.76,5.87,5.586,5.827,27432.39868421,521
2020-12-27T00:00:00.0000000Z,5.838,6.1,5.492,5.809,59598.20980573,1357
2020-12-28T00:00:00.0000000Z,5.793,6.15,5.765,5.91,39240.96969202,754
2020-12-29T00:00:00.0000000Z,5.927,5.994,5.412,5.729,31621.97253456,921
2020-12-30T00:00:00.0000000Z,5.695,5.794,5.617,5.681,9957.61298979,420
2020-12-31T00:00:00.0000000Z,5.697,5.802,5.567,5.675,18260.59232291,333
2021-01-01T00:00:00.0000000Z,5.631,5.856,5.6,5.71,12243.99848041,369
2021-01-02T00:00:00.0000000Z,5.71,5.943,5.615,5.776,24639.74794388,874
2021-01-03T00:00:00.0000000Z,5.778,6.7,5.768,6.56,95178.76728642,2639
2021-01-04T00:00:00.0000000Z,6.561,7.698,5.5,7.026,203889.05380583,4445
2021-01-05T00:00:00.0000000Z,7.04,7.479,6.707,7.27,39792.05913748,1634
2021-01-06T00:00:00.0000000Z,7.27,7.791,6.16,7.609,93823.03049426,2287
2021-01-07T00:00:00.0000000Z,7.583,7.797,6.453,7.189,118655.06055258,2642
2021-01-09T00:00:00.0000000Z,6.979,8.112,6.742,7.797,74390.06148281,2443
2021-01-10T00:00:00.0000000Z,7.843,9.541,7.83,8.878,379870.28438915,7346
2021-01-11T00:00:00.0000000Z,8.88,9.24,6.263,7.265,217723.32713465,5099
2021-01-12T00:00:00.0000000Z,7.266,7.686,6.84,7.029,45135.95974541,1751
2021-01-13T00:00:00.0000000Z,6.959,7.75,6.875,7.61,70094.50953082,1525
2021-01-14T00:00:00.0000000Z,7.61,8.1,7.372,7.746,65668.37544517,1874
2021-01-15T00:00:00.0000000Z,7.783,8.076,7.132,7.594,47092.60479192,1613
2021-01-16T00:00:00.0000000Z,7.606,8.178,7.432,7.793,36825.6620841,1145
2021-01-17T00:00:00.0000000Z,7.789,7.928,7.361,7.628,26987.03326305,709
2021-01-18T00:00:00.0000000Z,7.654,7.872,7.452,7.72,26795.1909409,750
2021-01-19T00:00:00.0000000Z,7.7,8.5,7.645,7.845,62737.38914449,1367
2021-01-20T00:00:00.0000000Z,7.819,8.024,7.4,7.923,27586.36226482,732
