usdt_start_date,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-13T00:00:00.0000000Z,1.0002,1.0005,1.0,1.0001,89530388.48567063,44619
2021-06-14T00:00:00.0000000Z,1.0001,1.0006,1.0,1.0004,154635158.41811872,58360
2021-06-15T00:00:00.0000000Z,1.0003,1.0005,0.9997,1.0001,107574596.91875003,35883
2021-06-16T00:00:00.0000000Z,1.0001,1.0004,0.9997,0.9998,120434749.36913288,36423
2021-06-17T00:00:00.0000000Z,0.9998,1.0001,0.9997,1.0,92833042.77876742,36538
2021-06-18T00:00:00.0000000Z,1.0001,1.0006,0.9999,1.0005,136548178.527083,45783
2021-06-19T00:00:00.0000000Z,1.0004,1.0006,1.0001,1.0001,64822595.80277126,18450
2021-06-20T00:00:00.0000000Z,1.0002,1.0004,0.9997,0.9999,84908472.05316217,34060
2021-06-21T00:00:00.0000000Z,0.9998,1.0006,0.9996,0.9998,211448674.85398903,99013
2021-06-22T00:00:00.0000000Z,0.9998,1.0009,0.9997,1.0004,273655572.948354,113081
2021-06-23T00:00:00.0000000Z,1.0004,1.001,1.0,1.0002,164402421.73464572,87651
2021-06-24T00:00:00.0000000Z,1.0002,1.0005,0.9998,0.9999,159847026.89837176,54324
2021-06-25T00:00:00.0000000Z,0.9999,1.0001,0.9987,1.0,289070517.2080917,90702
2021-06-26T00:00:00.0000000Z,1.0,1.0005,0.9997,1.0,151700070.29661995,46536
2021-06-27T00:00:00.0000000Z,0.9999,1.0004,0.9999,1.0002,89407840.78342038,35837
2021-06-28T00:00:00.0000000Z,1.0002,1.0005,0.9999,1.0002,101113723.00708576,48231
2021-06-29T00:00:00.0000000Z,1.0002,1.0006,1.0,1.0001,130770558.70431781,51595
2021-06-30T00:00:00.0000000Z,1.0,1.0005,0.9999,1.0002,207814437.73461682,72177
2021-07-01T00:00:00.0000000Z,1.0002,1.0003,0.9998,1.0002,97170829.22330463,60946
2021-07-02T00:00:00.0000000Z,1.0001,1.0003,0.9997,1.0001,89540150.86496629,41367
2021-07-03T00:00:00.0000000Z,1.0001,1.0003,1.0,1.0002,29178908.14738828,18203
2021-07-04T00:00:00.0000000Z,1.0002,1.0003,0.9998,1.0001,40597051.25538337,29880
2021-07-05T00:00:00.0000000Z,1.0001,1.0004,0.9999,1.0003,99135995.62320244,47980
2021-07-06T00:00:00.0000000Z,1.0002,1.002,0.9999,1.0,132334238.32149185,62666
